GeneNames,logFC,p_values
SCN4A,-0.3,0.264307049519823
ST7L,0.3,0.0148597551281856
TKTL1,1.2,0.0132946359008501
PAX6,-2.2,5.08397783129195E-06
RPUSD1,-0.2,0.134531704357918
RHBDF1,1.5,4.41467327956858E-08
LUC7L,-0.2,0.519135326109372
CACNA2D2,-1.3,3.41361780215876E-05
BAIAP3,-0.9,0.0018358427494237
TSR3,-0.1,0.826609308490369
PIGQ,,
CRAMP1,0.1,0.716492590757889
TEAD3,0.9,4.10113209075502E-06
SELE,0.1,0.748339946624726
DNAJC11,-0.4,5.89616327761303E-04
FMO3,0.3,0.176079530491674
MYLIP,-0.7,0.00158414475317703
NOX1,0.1,0.639839723319601
E2F2,0.3,0.118248107403731
PSMB1,0.3,0.107474378912742
SYN1,-2.7,1.58046993645803E-09
JARID2,-0.4,0.178228252857562
CDKL5,-2.2,5.36545200992441E-05
CAMK1G,-1.5,0.00164204139380755
NADK,0.1,0.634688862403198
TFAP2B,-0.1,0.745246676955675
TFAP2D,-0.2,0.256327282839628
DLEC1,0.1,0.662516975694588
CYTH3,-0.6,0.0240417825423674
ADAM22,-1.4,9.43334603741758E-06
SYPL1,0.5,0.124271944190588
CYB561,-0.2,0.199547161946063
SPAG9,-0.3,0.109971106902337
CELSR3,-1.8,5.36040491421338E-10
AASS,1.1,4.32674034116988E-05
PLEKHG6,-0.3,0.145945679062845
SS18L2,-0.5,0.00138068505119778
MPND,-0.4,0.153063549824994
MGST1,0.1,0.897749267042205
CRY1,-0.1,0.836461687669846
PGLYRP1,-0.3,0.0936320352260987
NFIX,0.5,0.0539097902379655
ST3GAL1,0.2,0.345682005710729
MMP25,-0.2,0.57096140167544
IL32,0.4,0.204048113335988
PKD1,-0.6,0.0752759734601826
MAPK8IP2,-0.8,0.00231899035742361
MED24,-0.1,0.489802051567767
RHOBTB2,-0.8,0.0134775703563516
HEATR5B,-0.5,0.087889834558994
SEC62,-0.2,0.106160489526034
RPS20,0.2,0.126366439107885
CSDE1,0.2,0.221072947004629
UBE3C,-0.3,0.258057142083505
REV3L,1.2,5.88560711475359E-04
TENM1,-1.6,0.00418759336365431
PAX7,,
MASP2,-0.2,0.0576043613263345
IYD,,
FAM76A,0.1,0.83172822125633
TRAF3IP3,0.7,8.05298594095289E-05
POMT2,0.5,0.0124160116792486
VTA1,-0.5,0.0242593028081748
MLXIPL,-0.5,0.00391072138488814
BAZ1B,,
RANBP9,0.1,0.836926249650566
ETV7,,
SPRTN,0.8,0.00274200933172083
EEF1AKNMT,,
DYRK4,0.4,0.117702884243208
ZNF207,0.1,0.621376938935426
UQCRC1,-0.1,0.430452699515966
STARD3NL,0.4,0.0692497647441583
CD9,1.6,3.31089116935513E-06
HHATL,-3.1,5.28519715140288E-11
NCAPD2,0.7,5.73832505387797E-04
IFFO1,0.3,0.0813601023610177
GIPR,-0.2,0.220071734871971
PHF7,0.3,0.150478084371203
SEMA3G,-1.5,3.52321631417917E-05
NISCH,-0.8,2.12330084384059E-04
STAB1,0.6,0.0305898064088118
FUZ,-0.4,0.054259685267738
SLC6A13,-1.0,0.0702931101873867
IDS,-0.4,0.00894824782071723
PRSS3,-2.3,4.50807168197111E-10
ZNF200,0.3,0.226275655161014
CD4,1.0,0.00145116486413951
LRRC23,-0.5,0.00498609110478688
BTK,0.8,0.00288096951338744
SCMH1,-0.4,0.0354176156083251
FYN,0.5,0.00114497139716393
HIVEP2,-1.9,5.72339109331298E-10
FMO1,0.6,0.00623656547424332
ELOA,0.3,0.0409435016598854
LYPLA2,,
CLCN6,-0.5,0.0052156368929021
MRC2,1.4,3.16295822645914E-05
