GeneNames,logFC,p_values
CORO1A,,0.542768183719043
MAPK3,,0.0796199928779485
GDPD3,,0.828687924670646
ELMO3,,0.341472479782751
PHKB,,0.00843048662771611
LYRM1,,0.172680773559242
NUTF2,,7.95030697118024E-06
NUP93,,0.0226187585496646
CENPT,,0.711834614006058
TSNAXIP1,,0.00161128954592212
NFAT5,,0.842366275860807
LONP2,,0.733416267618635
N4BP1,,
CBLN1,,0.0496366816876685
ARL2BP,,3.25615972306078E-05
PLLP,,7.05973042518624E-05
ZNF423,,0.335545052075348
CCL22,,0.0356493438330868
DHODH,,0.388719184049065
CCL17,,
CTCF,,0.736844347235235
ACD,,0.129928798788324
POLR2C,,0.579312994316689
PARD6A,,2.26582587853315E-07
ZNF821,,0.043484924742771
MMP15,,0.0339560148942332
USB1,,0.525747233062478
CYB5B,,0.459758037766605
CCDC113,,0.00135624640590413
PRSS54,,0.131730146571438
NME3,,0.507197803421249
NDRG4,,2.65235618652778E-08
PSMD7,,0.445055961972563
SETD6,,0.793860290086834
SLC38A7,,0.159504328368374
VAC14,,0.507148014681394
HAS3,,0.00323230838501243
TANGO6,,8.58874754348846E-05
COG4,,0.748339946624726
SMPD3,,1.7476037992164E-09
SLC7A6OS,,
SLC7A6,,0.437988932119281
PLA2G15,,0.21137094020844
ESRP2,,0.0292295796447359
FA2H,,0.630996681068665
WDR59,,0.627539974482564
MON1B,,0.770622703111182
CMC2,,0.00223930022789543
AXIN1,,0.566177668380753
HCFC1R1,,1.3126995561523E-04
NPRL3,,0.55442776949173
MLYCD,,0.587597366774672
MPG,,
NECAB2,,1.04782339119213E-05
HSDL1,,0.240126361399597
TAF1C,,0.707782063635686
NAGPA,,0.0015903083440548
WFDC1,,0.344723642940556
SEC14L5,,2.19867105545941E-09
COTL1,,5.42185915846004E-08
USP10,,0.0201902749362066
CRISPLD2,,9.42633751786238E-05
TSC2,,0.609691366956411
ZNF500,,0.696536505368232
NME4,,1.27054175406561E-04
ABCC1,,0.589161031932838
NOMO3,,0.0016285536325059
LMF1,,0.00112495704492026
FOXF1,,0.156271358911881
CIAO3,,0.0448119224689262
MTHFSD,,0.0050009375014035
CLCN7,,0.117354349296496
HAGHL,,6.06972780714443E-04
ANTKMT,,0.710803768944201
SLC7A5,,0.205250002338983
METRN,,3.83586919590699E-07
FBXO31,,0.119577096326835
STUB1,,3.98002831808543E-06
RHBDL1,,9.47159616485E-06
NUBP1,,5.90778960352143E-04
UBE2I,,0.0426548025942295
ZP2,,0.104943094050545
MEFV,,0.349278668296561
CRYM,,6.92944741350059E-07
EEF2K,,0.310128281624346
CAPN15,,0.742454326386895
GSPT1,,0.10363435335981
ZNF174,,0.057882314682167
CLUAP1,,0.145829461882258
UBFD1,,0.778335367007903
PRSS33,,0.877054945766173
EARS2,,0.269826003207115
ELOB,,0.849131915256731
GGA2,,0.140822545361696
AQP8,,0.101841152565958
CPPED1,,0.00504185367286361
USP31,,3.74837437142997E-04
HMOX2,,2.74578731402277E-06
DNAJA3,,0.0196374001901434
BFAR,,0.348687558229048
SALL1,,1.7219112193773E-05
TOX3,,0.00799725307755375
RBL2,,0.0184693096899157
QPRT,,5.10892559089716E-05
XYLT1,,2.07335837322878E-04
PYCARD,,5.04082482472181E-07
RPGRIP1L,,0.437660030643562
MAZ,,0.015439601755117
STX4,,0.838648057880507
CDIPT,,0.680487465202125
BCKDK,,0.00357189183710751
KAT8,,0.00728750812833905
IL21R,,0.00865703828663754
SYT17,,0.445470381481742
TMC5,,0.191131746785191
CCP110,,4.03606838899452E-05
VPS35L,,0.790158116723666
SLC6A2,,0.21413406162782
RNF40,,0.0360578081372804
KNOP1,,0.0412204996175102
AQP9,,0.774562601937861
AAGAB,,0.207775300119143
IQCH,,0.0862168436448553
LACTB,,0.162363256812206
CORO2B,,1.20073001294493E-06
CSK,,5.50377399083299E-07
HERC1,,9.64734847958204E-07
TRIP4,,0.00411585868031908
MTFMT,,0.539736103647302
RASL12,,0.903390515400358
AP3B2,,1.78311118818454E-06
ACSBG1,,4.79461663318821E-05
IGDCC4,,0.00639493027151538
RAB11A,,0.677435196963275
CTSH,,0.4502526036965
TTC23,,0.104069730288506
CD276,,0.00231932505900878
FAH,,0.527956918141647
CEMIP,,0.807183554540455
RPAP1,,
HOMER2,,8.68144795787244E-09
EHD4,,5.12672993437996E-08
TMEM87A,,1.43611511562835E-04
ZNF106,,0.20972145024871
CEP152,,0.00367345675941672
ATP8B4,,1.4474830872849E-07
OCA2,,0.044121395144592
DTWD1,,0.0527723441383825
TGM5,,
FAM189A1,,1.63733673440921E-06
GABPB1,,0.0134437590480153
TJP1,,0.00715103677211223
BMF,,0.0728051224463457
DMXL2,,0.0294204950092257
SCG3,,0.0571502158146448
DNAJC17,,0.379673359692172
EIF3J,,0.48225798762009
SPG11,,0.0217632915681173
RHOV,,1.75993273654309E-04
VPS18,,0.0174485315691178
OIP5,,3.45494295565525E-07
SLC30A4,,6.33630905750469E-04
BLOC1S6,,0.541843256788985
MYEF2,,0.176613774312679
SGK3,,0.242274870524954
PDGFRL,,0.543973212331091
CSPP1,,0.590523105159774
ZDHHC2,,0.00787691847810113
BRF2,,0.619100317304147
TRIM35,,0.351618862286962
ZFAND1,,0.0047811413635601
RP1,,
CA2,,0.0217409543036415
FZD3,,0.00160204173725551
INTS9,,3.40681510877885E-06
RIPK2,,0.00419662550320848
EYA1,,0.469808607587281
NBN,,0.10065802530698
TRPA1,,0.17437172751778
CPQ,,1.10643053572696E-07
DECR1,,4.25853789230604E-05
CALB1,,5.72339109331298E-10
BPNT2,,0.627639776488436
SFRP1,,0.0156439622540634
LAPTM4B,,3.06639719676077E-04
UBE2W,,0.0570533573990246
POP1,,0.0137000839983757
NIPAL2,,0.207266889776966
IKBKB,,1.73607796760107E-05
PLAT,,3.59257543419128E-13
JPH1,,5.65806083030467E-05
DKK 4.00,,
STK3,,0.488533834934406
GDAP1,,1.08109658001578E-06
RAB2A,,
EIF3E,,0.249551480518114
EMC2,,0.756202078471445
ESRP1,,0.667568154891119
CCN4,,0.794802589849565
NDRG1,,0.272185987397954
ZC2HC1A,,6.45336270361259E-04
IL7,,3.97805220920924E-05
STMN2,,2.72288148321087E-09
ARMC1,,0.00738327561787273
TRPS1,,0.225436752787136
SPAG1,,
CHRAC1,,3.79703536623165E-07
NCALD,,0.259356262570534
SNX16,,0.857533749947115
GML,,0.458586755124367
UBR5,,7.30045578836611E-04
GSDMD,,0.440327903134558
GFUS,,0.77869442684022
PYCR3,,0.0219889196364346
EEF1D,,0.0569529677591714
ANXA13,,0.239151363667757
SQLE,,0.00955015880639347
SH2D4A,,2.31309594672629E-04
INTS10,,0.170060957392473
ERI1,,0.00155385732398894
SLC39A14,,0.432362873440699
MTMR9,,5.95156080994796E-06
LEPROTL1,,0.00520750005844347
DCTN6,,0.533282445514305
R3HCC1,,0.272614755639945
GSR,,0.320063571037466
TNFRSF10A,,0.703561514046403
UBXN8,,0.182136005684454
PPP2CB,,0.0898376020556808
ERICH1,,0.704333704023089
NEFM,,4.53217693000864E-11
TUSC3,,
ARHGEF10,,0.198609436822156
KLHDC4,,0.0998198831676017
MCM4,,0.313451698469442
ADAM2,,
KCTD9,,0.0180030343285418
FGL1,,0.683384214019829
ASAH1,,6.37044239636521E-04
BNIP3L,,0.719140500184449
KCNN4,,
TULP2,,0.696678900622675
NUCB1,,6.93911183192387E-04
DHDH,,2.00987583389664E-05
GYS1,,0.0413997626934924
MAP4K1,,0.181850085399734
ECH1,,0.226315435462572
HNRNPL,,0.790685668918869
NFKBIB,,0.738110334364257
LHB,,0.0144298307283662
TUBB4A,,1.44870372633007E-05
KCNA7,,0.0108642449984978
SNRNP70,,0.639016039846691
CLPTM1,,0.116276926366603
RELB,,0.40076564924372
CLASRP,,0.337648359416003
LIN7B,,1.34666786970915E-06
PPP1R37,,0.015819761772643
FCGRT,,3.65450948607241E-10
PIH1D1,,0.566973547851493
CKM,,
PPP1R13L,,
PEX11G,,
ERCC2,,
DOT1L,,0.252175743626126
SLC17A7,,9.47096690288224E-08
KLC3,,0.85577838829273
CD37,,1.20283089959742E-05
SF3A2,,0.00615119282547729
AMH,,0.261841386622323
DKKL1,,0.00176086544797642
LYL1,,0.310948591049192
OAZ1,,
TRMT1,,0.130651025891034
STX10,,7.00447167240575E-05
RETN,,0.676299647860723
FCER2,,
DMPK,,0.00113379747386857
CLEC4M,,0.0560744810609811
RSPH6A,,0.0727350614673452
IL4I1,,0.425612395920148
TLE6,,0.104806528797641
CCDC130,,0.49683988659574
PTOV1,,0.669601771085944
TLE5,,0.174101419528881
NOVA2,,1.52992493721825E-08
SGTA,,0.222345594866238
KIR3DX1,,0.83994529636418
LILRB1,,3.32773797199124E-05
MED25,,0.318678899076207
LILRA1,,
SNAPC2,,0.0541596130650938
C19orf53,,
TIMM44,,0.632557612989282
CCDC61,,0.102944299498496
IL27RA,,2.40506231828549E-04
ASF1B,,0.106630206453172
TNNT1,,0.627639776488436
VRK3,,0.0307005488367726
FAM32A,,
C19orf44,,0.644174136252022
MED26,,0.603974459316319
OLFM2,,2.08876193514052E-04
RASAL3,,0.106790319646998
AKAP8,,0.63207546071372
EPHX3,,0.0621235767849221
ILVBL,,0.0131726318974999
ZNF419,,0.0987215610924817
SYDE1,,5.61340669066919E-08
CASP14,,0.670732351229855
SLC1A6,,2.22121095590422E-07
AURKC,,0.720096527867723
POP4,,0.836128042160388
CCNE1,,1.29351078723001E-06
URI1,,0.386049207539461
PDCD5,,0.0899397563095779
ANKRD27,,7.0842328478002E-05
RPS16,,0.249474383441728
TIMM50,,0.738621553167554
LGALS13,,0.581626044574596
FBL,,0.00737731565077359
DYRK1B,,0.202623711935374
CLC,,0.432085402248986
CCNP,,0.780226096683833
GPI,,0.102741116376887
AKT2,,5.42779263140471E-06
PLD3,,0.891407679818779
PRX,,0.0129096901089031
PIAS4,,0.0357886708364722
NUMBL,,0.422705839617755
EBI3,,0.0218965543848248
YJU2,,0.239784088156672
SHD,,8.19899479908868E-04
TBCB,,0.333290415765153
FSD1,,7.28235372683036E-06
POLR2I,,0.00138064651629483
OVOL3,,0.693352037964428
CLIP3,,2.42025545066149E-05
ZFR2,,
SLC1A5,,0.0139047444968048
PRKD2,,2.27501296456091E-05
TJP3,,0.0131267503641409
APLP1,,1.75158109541385E-07
CACTIN,,0.0277150489782925
CCDC9,,
HNRNPUL1,,2.61894726793427E-05
FZR1,,
BBC3,,0.00218451129803982
TGFB1,,2.77447699340207E-07
DENND3,,0.629972366730948
DMAC2,,0.0670566423391258
CEACAM4,,
PLIN3,,2.58332808505879E-06
MYH14,,0.00454284354797442
MRPL4,,0.21537784630687
SIGLEC8,,0.00259284861956207
CD79A,,0.464395188191383
LIM2,,
ICAM4,,0.416890708572255
RPS19,,0.00113918618103536
NOP53,,0.71855845367872
NKG7,,0.00289408003699943
ICAM5,,8.9131745813748E-06
ETFB,,0.292005599137941
CD33,,0.00141531371224126
CEACAM5,,0.259310522259721
CRX,,0.0109413523324468
BABAM1,,0.00275990786987389
TYK2,,3.58804377295113E-04
SULT2A1,,0.539707149032419
CDC37,,0.512700326382105
MEIS3,,0.0243711487389379
CNFN,,0.00426545154496884
ZNRF4,,0.0300310801773371
MEGF8,,0.00106366403166201
KDELR1,,1.37759813874086E-09
CYTH2,,0.772451718457931
GRWD1,,0.338867746417384
GRIN2D,,0.0908710515016674
SYNGR4,,
CLEC11A,,0.531236744447433
ODAD1,,0.00495517283505421
CARD8,,1.40499639920206E-06
LIG1,,0.592456686060825
SIGLEC6,,0.614177213719748
ZNF175,,0.130747081759412
PLA2G4C,,0.00733730272812
CABP5,,
HAS1,,1.82567196824961E-07
RAB3D,,0.210099834205158
DBP,,1.44497723892505E-05
TMEM205,,0.202974489037859
CAPS,,0.442510022149466
PLPPR2,,0.0811816438843292
FAM83E,,0.0169321499201556
RASIP1,,0.00309646456284846
THEG,,0.451916153120106
FGF21,,0.466416854710409
BCAT2,,0.00717905421212033
MIER2,,
PLEKHA4,,1.8436674344647E-10
PPP2R1A,,0.0537751191755684
TNPO2,,4.68672006552526E-05
CACNG7,,0.529542812386417
GCDH,,0.464384295029201
LILRB5,,0.00172067393096149
KLF1,,0.528892857921186
DNASE2,,7.8580201707359E-04
MAST1,,2.52723113928092E-10
LENG1,,0.140822545361696
PRPF31,,0.73730753387611
TFPT,,0.00270330533044687
JAK3,,
KCNN1,,4.72798717503216E-06
ARRDC2,,0.0970108033035345
RAB3A,,1.07290437567515E-09
ISYNA1,,0.0278679124738704
ELL,,0.264704046997438
CRTC1,,1.43048560872617E-06
COMP,,0.523100528847039
UPK1A,,0.356807572512733
COPE,,0.0304423469977141
DDX49,,0.57332230645004
ETV2,,0.174534442558453
ATP4A,,0.102592849869807
ARMC6,,0.107030656474354
TMEM147,,2.86684463738774E-04
GAPDHS,,0.852300120978749
ELOCP28,,
MAG,,0.0021009398523249
TMEM59L,,0.00316124000878929
HAMP,,0.0425131269580708
USF2,,0.57332230645004
LSR,,0.0180107272693475
KXD1,,0.229377874186091
FKBP8,,0.830992105094257
SUGP1,,
HPN,,0.0480272206900167
ZNF14,,0.766903456154721
PBX4,,0.00140501723917822
ERF,,0.00587685352628103
GSK3A,,0.279964509090046
ATP13A1,,4.4456081128579E-04
ZNF574,,0.287642295728039
GRIK5,,
SIPA1L3,,
ZNF85,,3.54580784177178E-04
ETHE1,,0.624386681417036
CADM4,,0.0447941726659068
SMG9,,
AVL9,,0.00135061799419162
RUNDC3B,,1.05915022275329E-08
CFAP69,,0.0931051361338013
GTPBP10,,0.0654516108909274
CDK6,,1.15767595813015E-05
PMPCB,,0.479585733154711
DNAJC2,,0.120674167151683
TFPI2,,0.0522936310551623
BET1,,0.224795021284694
NAMPT,,0.0188911621394592
POLR1F,,0.796445724413794
PIK3CG,,9.04370914818136E-07
PON3,,
PON2,,0.0294836640642475
ITGB8,,1.23074112327029E-05
HBP1,,0.380777816950525
DUS4L,,0.174913654905478
SP4,,0.73322563030326
WDR91,,
DNAH11,,0.492775214034528
CBLL1,,0.799605041380243
DLX5,,0.186637421990161
STEAP1B,,0.332498854173937
PTN,,6.80890747989905E-04
MPP6,,0.159591338388847
GSDME,,9.41389840482583E-04
ATP6V0A4,,3.04659473645668E-04
ZC3HAV1,,1.59266693641301E-06
TTC26,,1.10673370265523E-04
OGDH,,0.0277150489782925
NPVF,,
TFEC,,3.22992980170409E-09
H2AZ2,,
CAV2,,1.47139563965547E-08
CAV1,,3.17943651449782E-09
MET,,0.396397446943918
RNF32,,0.151544299518453
LMBR1,,0.0364080374401125
WNT2,,0.0120062722785887
HOXA1,,0.264943369292664
DNAJB6,,0.404367222953461
HOXA2,,0.723904530377282
HOXA3,,0.459543067920797
LFNG,,0.359964639530145
HOXA5,,0.224660415818075
HOXA6,,0.739575894228676
BRAT1,,0.101334922277965
IQCE,,0.359964639530145
ANKRD7,,
VIPR2,,8.82423359626915E-04
TSPAN12,,1.75733508803585E-06
SSBP1,,0.00269335508398996
HOXA13,,
CPED1,,1.35883583484501E-07
EVX1,,0.453792303917848
HIBADH,,0.00324367252149285
TAX1BP1,,0.248422760980594
CPVL,,1.23315679493917E-07
GRB10,,3.31146703541142E-05
ABHD11,,0.521533150821778
COBL,,0.478022715650179
FKBP14,,0.0514143492307131
PLEKHA8,,0.429774870203957
STX1A,,8.94499936222269E-10
NOD1,,
GARS1,,0.00178230610685082
CRHR2,,0.477424004140344
EPHB6,,6.9282372436987E-12
GHRHR,,0.00244712958251938
CASP2,,0.00371845686884407
CHCHD2,,0.707449485250717
CCL24,,0.056887170275125
HSPB1,,0.472137280375486
NPTX2,,
PDAP1,,
BUD31,,
PTCD1,,0.0859527309400052
CYP3A5,,0.0339236903228746
ZKSCAN1,,9.39673406850413E-04
EIF3B,,0.0445710466850573
SNX8,,0.680953495562357
NUDT1,,0.0822226071250735
PTPRZ1,,1.31128708825381E-08
TAF6,,0.00293521849371626
WASL,,0.0206887386767788
HYAL4,,0.471764468660724
SPAM1,,0.863809966095597
AIMP2,,4.04409739237086E-04
TFR2,,0.00208891356991849
FSCN3,,0.468387992744824
MOSPD3,,0.00236327486094178
PAX4,,
PCOLCE,,0.00833526242955876
FBXO24,,0.0914339457071177
PPP1R17,,0.895738394545587
RBM28,,0.226997699050179
USP42,,
IMPDH1,,1.81139068306233E-04
AGFG2,,0.0585036157553222
LSM 5.00,,0.0696941651181627
SERPINE1,,3.00401572929206E-04
AP1S1,,
MOGAT3,,0.642579121037396
C1GALT1,,0.511026880707854
PLOD3,,9.23548230296013E-07
RPA3,,0.203298663039531
ZNHIT1,,0.483009064588352
CLDN15,,0.0215558020245506
NOBOX,,0.742893930511493
GLCCI1,,0.903447847981159
MYL10,,0.0432328266969718
PHF14,,0.142782742165479
NRF1,,0.490888281193206
TMEM106B,,0.0116707823382698
EZH2,,1.09655289382077E-04
CEP41,,0.0111383297701705
ZNF862,,0.781972526402062
SFRP4,,4.23634346603334E-07
MEST,,2.4261144846015E-07
MEOX2,,0.00427351968892964
ANKMY2,,0.404309125267043
ACTR3C,,0.0877213022843329
POU6F2,,0.00117220255284911
TSPAN13,,0.083407375702992
RARRES2,,3.51060615612414E-07
AGR2,,
AHR,,3.90080793729991E-14
GIMAP2,,1.22116282443204E-08
TMEM176B,,2.33951710530214E-09
GLI3,,0.0552752969438922
MRPL32,,0.413482506030411
COA1,,0.443619669274561
BLVRA,,0.0749742351828394
URGCP,,2.993512923322E-04
TMEM248,,0.190712650920525
STAG3L4,,0.847769100564175
RHEB,,0.26898380075109
PRKAG2,,0.0272841987981492
AEBP1,,1.9932836622005E-06
POLD2,,
MYL7,,0.00233879670340151
GCK,,2.34478708477819E-05
BCL7B,,0.0781881355506925
YKT6,,0.0503197630135735
TBL2,,0.00623299981544934
GALNTL5,,2.31379609791918E-05
CLIP2,,0.00229412526079838
EIF4H,,
LIMK1,,0.014048615109615
SPATA6L,,
SLC1A1,,0.129139041879115
LHX2,,0.489911618332842
FKTN,,0.162041240988012
FSD1L,,2.38671256630224E-07
SPIN1,,6.80838274412358E-04
NMRK1,,0.05738488637347
TMEM245,,0.0262394886936551
PRUNE2,,
MEGF9,,0.0395644593075292
TRIM14,,1.23900436771311E-09
CORO2A,,0.0825661680370183
TGFBR1,,3.72457257522825E-07
SEC61B,,0.0016226393953199
C5,,4.8270025794161E-05
OGN,,0.210042092582087
ASPN,,0.0600612501596531
ECM2,,2.10926540693228E-04
TLE4,,0.051784416845498
LHX6,,0.00150614870707777
PTGR1,,0.614084302779742
SUSD1,,5.80475963878778E-09
AMBP,,0.0459497550266806
AKNA,,6.64663095013623E-05
TNFSF8,,0.0181022073152606
DNM1,,2.93833830584289E-12
ENG,,0.0761653468961319
CDC37L1,,0.0146550501985869
RLN2,,0.477725384138
RLN1,,
PLGRKT,,7.95591545202939E-07
TBC1D13,,0.00835415496622332
RIC1,,0.701568457447513
KDM4C,,0.497132792192122
DOCK8,,1.8522894765105E-09
KANK1,,1.35882487269515E-07
ELAVL2,,2.83172662449816E-16
NCS1,,9.9772137463069E-11
TESK1,,1.72032320063891E-04
KCNT1,,0.118719790332245
CA9,,0.752087072029513
FUBP3,,1.11103151411736E-04
TYRP1,,0.00724560096802264
CREB3,,
RGP1,,
MPDZ,,0.0117492620684898
LHX3,,0.318882952246082
EDF1,,0.338574920073085
PIP5K1B,,4.87840643417424E-08
GLIS3,,1.12214177348147E-04
BAG1,,0.126106520860099
RAPGEF1,,0.667113941304527
APBA1,,0.0275830034795641
SETX,,0.654274828051185
SH3GL2,,2.11930619306433E-10
ABCA2,,0.490224495450913
SHB,,0.196281894029205
UBE2R2,,
ABHD17B,,0.0976433674422012
EXOSC3,,0.638283173167332
ZFAND5,,3.47797450484703E-04
DVL1,,2.75955603100275E-04
PDLIM1,,0.0103535667760462
CCNJ,,7.55579430242319E-04
DNTT,,
GATA3,,0.858357421038661
ATRNL1,,0.0220405934203147
HPS1,,
PHYH,,0.494163552481038
RASSF4,,0.00351872682286489
DNMBP,,5.262026647661E-04
RAB11FIP2,,0.00232890927282308
CXCL12,,0.701608109654965
ERLIN1,,0.00193545131781122
EIF3A,,6.79170848067782E-04
PKD2L1,,0.00156756448963292
CUBN,,0.018986672999258
TRDMT1,,0.00102151642752226
DDX50,,0.0173278985062635
MAPK8,,8.82554580991769E-05
SEC23IP,,0.419747057456915
ATE1,,0.507133795729698
NSMCE4A,,0.0459269662563501
PLEKHA1,,0.00365190668187132
PALD1,,4.96705790152469E-06
UNC5B,,0.650773859551841
CDH23,,0.0615566424929008
VSIR,,0.19330701968465
SPOCK2,,
MICU1,,0.594151925822083
PPP3CB,,9.98990942634226E-07
CCSER2,,0.0366226383026909
BMPR1A,,1.48926623379072E-04
MINPP1,,0.0289119429103539
ACTA2,,0.109548227054525
LIPA,,5.63018142885809E-04
TLX1,,9.89710725285798E-04
TWNK,,0.689388613985608
LZTS2,,0.142782742165479
SFXN3,,0.00889109087943118
KAZALD1,,0.652521097405199
FBXW4,,0.204331614737264
FGF8,,0.0172742219604856
NPM3,,0.269829714097716
TNKS2,,
PITX3,,0.0150862356513914
GBF1,,0.823248318609021
ARHGAP21,,0.003910924788371
CPEB3,,0.705254396639336
FBXL15,,4.29496966463619E-06
CUEDC2,,
SUFU,,0.102045395956772
ANKRD26,,0.00623106070203094
ACBD5,,0.00735371247589534
LHPP,,0.136066104531049
LARP4B,,0.249047260411575
GTPBP4,,0.0685712752277102
EDRF1,,0.371841677327375
BCCIP,,0.47965828689184
MTPAP,,0.432484442897125
NEURL1,,1.21265420030585E-05
SH3PXD2A,,2.56597745385423E-05
PITRM1,,0.00219439396585382
STN 1.00,,0.647883554449242
MAP3K8,,5.37018637667027E-04
DKK 1.00,,0.553419336326437
EBF3,,0.402650333364
GLRX3,,0.739575894228676
SORCS1,,0.512910419533869
TASOR2,,0.0534922131044016
XPNPEP1,,0.0201029819655348
SMC3,,0.33837483546612
SHOC2,,0.046790672802643
TFAM,,0.210928141059605
CCDC6,,
CUL2,,
CCNY,,0.782283975451534
RPL28,,0.00206497218094494
ZMIZ1,,7.02904147296146E-04
DNAJC12,,0.12198315539067
PPIF,,
PBLD,,0.00966173740962978
TSPAN14,,0.673405204578988
LGI1,,2.58186546750031E-08
TBC1D12,,0.855467431478764
CYP2C18,,0.592456686060825
KRT23,,0.695888000119212
CRYBA1,,
NUFIP2,,0.4908429061947
GIT1,,0.0610439120397291
RPL19,,0.00729249173760119
FBXL20,,5.95890085121642E-05
RUNDC3A,,6.19155889886171E-12
UBTF,,0.388144209029853
CSF3,,0.0339091540258492
PSMD3,,0.208294768803877
CASC3,,0.300740308381082
RAPGEFL1,,3.32244636734433E-07
RGS9,,0.604114149412462
RNF43,,0.00117704146165968
WNT3,,0.00473566208520754
ASPA,,1.00870433314088E-06
RAD51C,,0.375664184647575
SEPTIN4,,0.220761306661827
SEPTIN4,,1.74015330103139E-04
MTMR4,,0.0511005714445754
TRIM37,,1.30152882514659E-09
P2RX1,,0.742205289941269
DHX40,,9.96897720042288E-04
KRT37,,0.130863962591666
TUBD1,,0.404367222953461
KPNB1,,0.00995639565135268
GOSR2,,0.00285491278514339
PNPO,,0.0715503167875029
RPS6KB1,,0.829694402845531
CBX1,,0.11085870829175
RECQL5,,0.189142848516354
PIGL,,0.440070305423531
GALK1,,2.68924457226375E-06
INTS2,,
CAMTA2,,2.48875941651489E-06
MED13,,0.790163086836563
HOXB6,,0.252836124580743
ENO3,,
PFN1,,3.09352551307909E-06
RNF167,,0.0651383901759141
SLC25A11,,0.554381394982533
RASD1,,0.117524984194212
CHRNE,,0.256627041177174
RAI1,,0.681422817128804
NUP88,,0.00345162954884043
C1QBP,,0.554913419167071
SLC6A4,,0.52173091288562
BLMH,,0.149203166975669
CPD,,0.180951580640758
GOSR1,,0.446300322562761
CCDC47,,0.00128237258753622
MED31,,0.0184915391922574
DRG2,,0.104172781277432
FTSJ3,,0.102332304488401
AKAP10,,0.00834068590901523
ALDH3A1,,8.56913635420191E-04
SMARCD2,,0.316180995571421
ICAM2,,5.22684950140889E-04
SYNGR2,,0.287422437466659
B9D1,,0.616587521584475
UTP6,,0.785819917079726
DDX5,,0.491303281012231
C17orf75,,0.101087464772798
CYTH1,,0.0222531636360156
PSMD11,,0.683705220629423
LGALS3BP,,3.48113412783066E-07
ASIC2,,0.412394175765181
CCL7,,
CCL2,,7.87599764005413E-10
CCL8,,9.97960070998959E-06
CCL1,,0.514121315142302
PEX12,,5.92159719268223E-04
KRT32,,0.536360670904429
DHX58,,0.304267853143513
KAT2A,,0.0062148636074935
RAB5C,,0.0978491731913701
NAGLU,,7.31274544197934E-05
HSD17B1,,0.729264472515467
MLX,,
CNTNAP1,,3.61279889517559E-04
ABI3,,0.014199898112914
EZH1,,0.0078319493206189
DLX4,,0.226626317639081
PPP1R9B,,0.176485873668253
COL1A1,,2.65530832756431E-05
SGCA,,0.0274618547596205
MRPL27,,0.44956348429142
VAT1,,2.11197096693855E-04
LRRC59,,9.39959521352617E-04
RND2,,2.28883947183759E-04
ALOX12,,
HDAC5,,2.70562463589235E-04
ABCC3,,0.00970377393110528
LUC7L3,,0.630122716425354
PPY,,0.657002763244434
MPP2,,3.40415139871428E-09
SMURF2,,0.0409876059144241
DUSP3,,3.26122685820633E-08
CACNG1,,0.320808996446296
EFTUD2,,0.026833529670099
HLF,,2.35660284599689E-06
SLC16A6,,0.0102397541781592
PRKAR1A,,0.699553873842222
EFNB3,,0.777723268187704
FAM20A,,0.0822226071250735
YWHAE,,0.437660030643562
MMD,,0.0870860035649139
RANGRF,,
MAP2K6,,
DHRS7B,,0.0191708395736909
WSB1,,0.028815212106184
RCVRN,,0.394594539963045
MYH1,,0.186929705252142
SLC9A3R1,,0.00224501427247983
MYH3,,0.237658192227452
NAT9,,0.156729943967222
TMEM104,,0.158284728106739
TNFAIP1,,
IFT20,,0.345753737454075
TMEM97,,0.0808383983186603
CDR2L,,0.0283827687603556
PMP22,,0.0297038289299654
FOXN1,,0.815922829347909
UNC119,,8.93643534873251E-05
ALDOC,,0.0242145705570471
SUPT6H,,0.299531258083453
RAB34,,3.707355137356E-04
PHF12,,0.00739525293497432
PHOX2B,,0.39011543188841
TMEM33,,0.747001566247149
GABRA4,,1.20007148347339E-05
GNRHR,,0.367054066252273
SLAIN2,,0.0640894470631636
OCIAD1,,0.0360808354301312
CWH43,,
DCUN1D4,,0.0118719609042982
USP46,,0.0418062507966344
SULT1E1,,
ODAM,,0.785033212658405
SMR3A,,0.794031296156841
CHIC2,,0.0903646777938978
NMU,,9.23518628671904E-06
CRACD,,0.0494774180210569
LAMTOR3,,0.0848782009127324
PF4V1,,0.179702204292346
NFKB1,,1.51300160788057E-05
AREG,,0.83764028022503
MANBA,,0.0469873097968843
UBE2D3,,0.0398637331718823
MAPK10,,5.68367337652818E-07
ELF2,,0.0130315357676951
NDUFC1,,
UCP1,,
TBC1D9,,2.85519390919893E-07
ZNF330,,0.581631165471612
INPP4B,,0.0227735435729306
GAB1,,5.73083265409687E-07
KLHL2,,6.93046601644448E-04
IL2,,
CPE,,0.525747233062478
RPL34,,
WFS1,,1.18442832353936E-06
ANXA10,,0.186492098489191
GRPEL1,,6.90676298522674E-04
GAR1,,0.00296195350756462
CLCN3,,0.0203647776432019
AADAT,,0.171566464133082
GALNT7,,0.0157701923765762
DHX15,,0.0390843732896406
SOD3,,0.0278746220029224
SEPSECS,,0.0169219172567964
TRIM2,,0.0368580411724253
SLC2A9,,0.0262787976668892
FBXW7,,2.97483354677793E-06
NEIL3,,0.269742011279755
TBC1D19,,0.0249018086961644
CLNK,,0.181874520745239
NSD2,,0.0297038289299654
SH3D19,,1.68126020002895E-06
STIM2,,0.00104683036196054
